COUNTRY,CODE,PROCAN,BRECAN,CERCAN,STOCAN,ESOCAN,PANCAN,LUNCAN,COLCAN,LIVCAN,SMPREV,OWPREV,ACSHAR,GEOLAT,GEOLON
Afghanistan,AFG,6.37,8.67,3.9,29.3,6.96,2.72,12.53,8.43,10.27,11.9,23,0.21,33.93911,67.709953
Albania,ALB,8.87,6.5,1.64,10.68,1.44,6.68,26.63,9.15,6.84,20.5,57.7,7.17,41.153332,20.168331
Algeria,DZA,5.33,7.58,2.18,5.1,1.15,4.27,10.46,8.05,2.2,11.2,62,0.95,28.033886,1.659626
American Samoa,ASM,20.94,16.81,5.02,15.79,1.52,5.19,28.01,16.55,7.02,,,,-14.270972,-170.132217
Andorra,AND,9.68,9.02,2.04,8.3,3.56,10.26,34.18,22.97,9.44,26.6,63.7,11.02,42.546245,1.601554
Angola,AGO,13,11.48,10.93,8.96,8.81,3.4,14.88,9.65,2.59,8.6999998,27.5,6.94,-11.202692,17.873887
Antigua and Barbuda,ATG,35.83,16.44,5.76,11.05,3.11,6.39,9.59,16.16,2.85,3.4000001,48,6.38,17.060816,-61.796428
Argentina,ARG,11.32,15.84,5.87,9.44,5.08,11.94,25.74,23.59,2.15,19.299999,62.7,9.65,-38.416097,-63.616672
Armenia,ARM,7,13.75,3.98,13.01,1.62,10.61,31.62,14.3,7.07,26.700001,54.4,5.55,40.069099,45.038189
Australia,AUS,9.71,9.15,1.13,3.89,4.03,8.26,23.46,15.49,4.2,16.299999,64.5,10.51,-25.274398,133.775136
Austria,AUT,8.1,9.82,1.43,5.42,2.49,10.34,24.34,13.54,4.5,29.299999,54.3,11.96,47.516231,14.550072
Azerbaijan,AZE,6.03,9.84,3.3,22.48,9.32,7.45,23.58,12.2,4.37,22.4,53.6,4.41,40.143105,47.576927
Bahamas,BHS,30.44,19.98,5.88,9.16,5.19,4.69,14.52,18.41,3.21,10.1,64.4,4.78,25.03428,-77.39628
Bahrain,BHR,8.08,10.61,1.24,6.29,2.03,7.59,22.08,11.42,5.23,19,65.8,1.09,25.930414,50.637772
Bangladesh,BGD,4.12,7.2,2.78,6.58,4,2.21,7.81,4.94,2.75,22.4,20,0.019,23.684994,90.356331
Barbados,BRB,34.72,20.04,7.13,10.41,5.09,8.15,9.67,23.96,2.74,6,52.4,9.69,13.193887,-59.543198
Belarus,BLR,6.38,8.4,3.43,14.1,2.96,7.06,22.17,17.03,2.41,26.9,59.4,11.45,53.709807,27.953389
Belgium,BEL,9.23,12.69,1.44,5.12,4.52,9.28,35.12,17.1,3.78,26.1,59.5,11.08,50.503887,4.469936
Belize,BLZ,19.84,6.18,8.8,10.17,2.46,6.35,13.51,10.42,3.21,8.8999996,54.8,6.22,17.189877,-88.49765
Benin,BEN,13.59,8.57,10.72,13.66,5.18,4.94,11.38,7.63,5.12,7.6999998,29.5,2.81,9.30769,2.315834
Bermuda,BMU,19.2,10.99,1.78,5.07,4.26,9.59,24.01,18.81,2.05,,,,32.321384,-64.75737
Bhutan,BTN,5.11,5.95,3.5,8.41,5,3.3,8.26,6.97,3.27,11,27.1,0.43,27.514162,90.433601
Bolivia,BOL,17.93,10.09,12.6,36.11,2.59,5.34,14.54,12.26,5.03,24.4,56.1,4.43,-16.290154,-63.588653
Bosnia and Herzegovina,BIH,7.81,11.7,3.01,10.31,2.06,10.07,39.44,22.32,8.01,31.200001,53.3,7.15,43.915886,17.679076
Botswana,BWA,18.7,17.27,15.2,9.04,13.21,7.96,22.61,15.75,1.53,13.5,43.4,6.59,-22.328474,24.684866
Brazil,BRA,10.54,8.43,4.62,9.87,5.28,6.45,15.79,11.67,2.5,13.8,56.5,7.42,-14.235004,-51.92528
Brunei,BRN,7.81,12.38,5.67,14.11,3.03,9.3,44.83,30.26,11.53,11.5,41.2,0.48,4.535277,114.727669
Bulgaria,BGR,8.4,12.86,4.33,10.81,1.95,11.09,34.03,25.11,4.62,32.299999,61.7,12.65,42.733883,25.48583
Burkina Faso,BFA,13.01,11.48,12.49,15.38,5.09,3.64,10.8,7.27,2.37,10.5,23.2,12.03,12.238333,-1.561593
Burundi,BDI,12.68,9.19,12.16,8.99,12.18,2.31,7.63,7.17,3.11,13.9,22.2,7.19,-3.373056,29.918886
Cambodia,KHM,7.3,8.07,5.5,9.35,2.97,3.75,26.38,14.02,9.86,19.5,21.7,6.64,12.565679,104.990963
Cameroon,CMR,15.98,11.63,10.83,14.24,5.98,7.99,14.74,10.64,0.69,7,33.6,5.65,7.369722,12.354722
Canada,CAN,8.57,9.76,1.29,4.4,3.64,8.55,34.09,16.22,3.91,14.5,64.1,8.94,56.130366,-106.346771
Cape Verde,CPV,26.87,8.8,7.86,25.65,16.38,10.82,18.63,11.35,12.34,6.5999999,34.8,5.6,16.002082,-24.013197
Central African Republic,CAF,10.54,11.69,15.96,12.46,10.95,2.19,13.1,6.37,3.42,8.3999996,26.2,2.38,6.611111,20.939444
Chad,TCD,15.28,6.66,11.74,16.38,4.95,2.86,12.74,7.37,5.68,7,23.1,1.37,15.454166,18.732207
Chile,CHL,12.03,7.74,3.91,17.63,4,7.76,16.57,14.71,3.02,28.6,63.1,9.07,-35.675147,-71.542969
China,CHN,3.06,4.85,2.65,21.72,13.15,5.99,38.7,13.86,9.41,24.9,32.3,7.05,35.86166,104.195397
Colombia,COL,8.23,6.38,4.54,12.73,2,4.7,12,9.63,2.65,11.3,59,5.74,4.570868,-74.297333
Comoros,COM,12.62,11.55,11.76,7.16,11.94,3.89,7.92,8.56,3.01,10.4,27.1,0.69,-11.875001,43.872219
Congo,COG,14.75,16.05,12.24,8.67,10.76,5.48,17.01,11.4,3.14,8.6999998,30.9,9.27,-0.228021,15.827659
Cook Islands,COK,26.48,20.14,2.03,6.75,2.67,4.95,29.78,7.77,11.13,,84.7,,-21.236736,-159.777671
Costa Rica,CRI,11.34,8.45,3.88,19.02,1.79,7.2,9.7,15.38,5.3,12.1,61.6,4.87,9.748917,-83.753428
Cote d'Ivoire,CIV,15.41,7.96,9.11,14.67,5.35,5.48,13.83,9.41,5.06,10.3,31.6,2.71,7.539989,-5.54708
Croatia,HRV,9.27,11.6,2.04,9.38,2.62,9.07,33.38,25.28,3.53,27.9,59.6,9.23,45.1,15.2
Cuba,CUB,16.77,9.41,3.95,5.67,5.08,6.16,34.19,17.83,2.43,16.6,58.5,5.83,21.521757,-77.781167
Cyprus,CYP,9.81,12.17,1.57,6.66,1.27,8.22,23.42,14.32,3.42,31.6,59.1,10.81,35.126413,33.429859
Czechia,CZE,8.26,9.23,2.33,6.08,3.09,11.81,29.19,21.58,2.99,23.6,62.3,14.45,49.817492,15.472962
Democratic Republic of Congo,COD,10.42,12.94,11.86,8.11,8.71,2.4,12.52,6.23,2.28,8,25.3,2,-4.038333,21.758664
Denmark,DNK,13.27,12.32,1.73,4.33,4.5,10.07,37,21.75,3.25,18.700001,55.4,10.26,56.26392,9.501785
Djibouti,DJI,16.26,10.7,10.08,8.17,12.13,4.31,11.64,11.19,3.49,21.5,38.6,0.43,11.825138,42.590275
Dominica,DMA,54.15,16.11,8.78,20.49,5.14,8.54,17.55,14.96,3.39,5.5,60.3,11.18,15.414999,-61.370976
Dominican Republic,DOM,19.99,8.4,6.87,8.7,2.55,3.72,15.81,12.42,4.92,11.1,61.2,6.68,18.735693,-70.162651
East Timor,TLS,7.55,8.18,4.47,7.85,2.48,3.07,20.9,12.29,6.6,30,21.6,2.17,-8.874217,125.727539
Ecuador,ECU,12.77,6.9,6.96,21.86,1.68,5.83,10.8,11.34,3.71,6.4000001,56,4.2,-1.831239,-78.183406
Egypt,EGY,4.25,6.44,0.77,5.21,1.54,4.43,9.5,7.45,21.25,18.4,63.5,0.36,26.820553,30.802498
El Salvador,SLV,8.76,6.27,8.79,16.24,1.68,5.25,10.56,9.05,2.12,9.1999998,59.9,3.89,13.794185,-88.89653
England,,11.09,12.28,1.44,5.53,7.6,9.23,31.67,17.33,3.86,,,,55.378051,-3.435973
Equatorial Guinea,GNQ,14.05,15.99,9.84,6.58,9.2,6.36,17.52,14.24,3.48,9.1999998,26.7,7.23,1.650801,10.267895
Eritrea,ERI,9.86,14.05,16.98,10.45,13.92,3.13,8.87,9.97,3.32,5.9000001,22,1.44,15.179384,39.782334
Estonia,EST,9.28,10.29,2.9,11.38,2.91,10.19,27.32,18.51,3.61,26.299999,55.8,9.23,58.595272,25.013607
Eswatini,SWZ,16.27,14.82,16.14,9.15,15.86,8.18,18.71,13.52,19.09,7.3000002,38.4,10.04,-26.522503,31.465866
Ethiopia,ETH,7.09,9.71,8.23,6.64,2.87,1.6,6.13,7.33,3.02,3.7,20.9,2.36,9.145,40.489673
Fiji,FJI,9.78,20.26,11.8,7.44,2.9,4.34,10.75,11.65,6.23,14.3,63.8,3.32,-16.578193,179.414413
Finland,FIN,9.04,8.86,0.96,4.78,2.5,10.71,20.47,12.33,4.03,16.5,57.9,10.78,61.92411,25.748151
France,FRA,8.47,11.16,1.49,4.86,3.96,9.76,31.53,16.41,5.8,27.299999,59.5,12.33,46.227638,2.213749
Gabon,GAB,14.58,16,9.08,8.15,11.22,8.18,20.24,14.86,3.54,10.9,40.2,8.74,-0.803689,11.609444
Gambia,GMB,4.91,6.44,8.54,5.81,2.22,3.52,8.08,6.56,39.51,12.1,31.9,3.55,13.443182,-15.310139
Georgia,GEO,7.27,16,4.3,14.07,1.85,6.28,30.57,13.19,3.63,22.700001,54.2,8.25,42.315407,43.356892
Germany,DEU,8.84,11.53,1.52,6.86,3.71,10.82,29,18.01,4.02,22.299999,56.8,12.91,51.165691,10.451526
Ghana,GHA,17.46,17.21,9.48,8.65,3.52,9.58,9.26,8.76,6,3.9000001,32,2.75,7.946527,-1.023194
Greece,GRC,8.74,11.74,1.57,8.05,1.39,9.98,37.6,14.87,3.21,35.5,62.3,10.18,39.074208,21.824312
Greenland,GRL,7.07,9.84,4.29,10.82,13.13,19.29,78.23,31.38,6.35,,,,71.706936,-42.604303
Grenada,GRD,36.43,16.46,8.93,10.43,6.66,9.75,14.42,19.29,3.13,9.3999996,51.4,9.48,12.262776,-61.604171
Guam,GUM,7.5,9.09,3.03,5.74,2.65,5.26,31.94,14.16,5.79,,,,13.444304,144.793731
Guatemala,GTM,12.99,5.96,10.26,27.97,2.23,4.73,8.34,9.09,4.81,6.3000002,55.9,2.45,15.783471,-90.230759
Guinea,GIN,17.87,9.89,18.27,16.24,2.02,1.91,10.75,7.24,34.05,6.3000002,26.6,1.11,9.945587,-9.696645
Guinea-Bissau,GNB,13.91,12.42,16,19.24,6.42,4.72,13.81,9.06,6.36,6.5999999,29.9,5.38,11.803749,-15.180413
Guyana,GUY,26.88,13.58,11.09,8.87,2.18,6.14,8.99,14.68,3.2,15.3,49.4,6.89,4.860416,-58.93018
Haiti,HTI,28.25,15.49,14.71,15.99,3.75,2.54,12,10.53,4.42,7.0999999,54.9,2.73,18.971187,-72.285215
Honduras,HND,10.78,7.17,5.9,15.88,1.8,4.61,24.08,7.65,16.14,11.3,55.8,3.76,15.199999,-86.241905
Hungary,HUN,7.39,11.78,2.86,8.57,3.61,12.02,48.12,28.56,2.65,26.6,61.6,11.35,47.162494,19.503304
Iceland,ISL,10.21,7.73,0.98,4.59,3.92,8.12,26.49,11.81,2.84,14.4,59.1,9.12,64.963051,-19.020835
India,IND,3.54,7.12,3.74,7.32,3.49,3.13,8.07,7.5,2.75,12.6,19.7,5.54,20.593684,78.96288
Indonesia,IDN,7.43,10.69,3.69,6.82,2.51,5.4,24.43,15.58,2.45,30.200001,28.2,0.57,-0.789275,113.921327
Iran,IRN,6.52,5.99,1.03,16.17,4.54,4.89,12.88,9.31,3.64,12.1,61.6,1.03,32.427908,53.688046
Iraq,IRQ,5.26,11.1,1.23,5.71,1.3,6.12,19.86,8.32,6.07,16.5,64.6,0.39,33.223191,43.679291
Ireland,IRL,10.07,10.98,1.46,5.79,6.41,9.16,28.79,18.01,3.4,24.299999,60.6,12.88,53.41291,-8.24389
Israel,ISR,6.07,11.81,1.35,6.04,1.53,10.73,21.69,16.56,2.79,19.4,64.3,4.21,31.046051,34.851612
Italy,ITA,6.51,10.25,1.21,8.26,1.83,9.59,25.57,15.83,4.8,22.299999,58.5,7.84,41.87194,12.56738
Jamaica,JAM,27.55,15.46,8.19,9.53,2.7,5.14,19.31,16.52,2.75,14.7,55.5,4.22,18.109581,-77.297508
Japan,JPN,3.44,5.37,1.46,14.07,3.91,9.6,21.21,15.85,8.78,21.299999,27.2,7.96,36.204824,138.252924
Jordan,JOR,6.08,9.51,0.96,5.14,1.16,5.4,15.11,13.07,2.38,25.799999,69.6,0.69,30.585164,36.238414
Kazakhstan,KAZ,4.01,9.64,4.34,14.11,7.8,6.67,21.14,13.5,6.54,24.4,53.6,4.76,48.019573,66.923684
Kenya,KEN,11.36,10.29,6.81,9.83,13.72,3.43,6.31,8.14,3.34,9.5,25.5,2.78,-0.023559,37.906193
Kiribati,KIR,6.01,20.08,39.95,16.6,8.23,3,20.07,10.76,11.95,41.099998,78.7,0.46,-3.370417,-168.734039
Kuwait,KWT,6.19,5.46,0.71,3.45,1.53,5.56,10.75,10.14,2.36,24.4,73.4,0.003,29.31166,47.481766
Kyrgyzstan,KGZ,3.08,6.2,4.95,16.78,4.45,5.3,12.35,8.24,2.7,18.1,48.3,6.26,41.20438,74.766098
Laos,LAO,6.61,10.93,4.62,8.27,2.53,3.52,24.28,13.33,7.11,27.299999,25.4,10.72,19.85627,102.495496
Latvia,LVA,8.85,11.19,2.62,11.56,3.3,10.15,24.6,17.63,2.7,29.1,57.8,12.77,56.879635,24.603189
Lebanon,LBN,11.32,19.79,1.33,6.78,1.25,6.61,27.51,17.55,2.97,27,67.9,1.71,33.854721,35.862285
Lesotho,LSO,18.17,17.67,21.1,12.35,15.44,6.11,19.13,11.67,15.17,16.700001,38.7,4.59,-29.609988,28.233608
Liberia,LBR,14.99,9.22,9.95,12.33,5.21,5.07,9.99,6.68,5.29,6.3000002,30.9,6.12,6.428055,-9.429499
